"|","|__name","|__description"
"859","Cedar Waxwing","The cedar waxwing (Bombycilla cedrorum) is a member of the family Bombycillidae or waxwing family of passerine birds. It is a medium-sized bird that is mainly brown, gray, and yellow. Some of the wing feathers have red tips, the resemblance of which to sealing wax gives these birds their common name. It is a native of North and Central America, breeding in open wooded areas in southern Canada and wintering in the southern half of the United States, Central America, and the far northwest of South America. Its diet includes cedar cones, fruit, holly berries, and insects. The cedar waxwing is listed as least concern on the IUCN Red List.\nThe genus name Bombycilla comes from the Ancient Greek bombux, ""silk"" and the Modern Latin cilla, ""tail""; this is a direct translation of the German Seidenschwanz, ""silk-tail"", and refers to the silky-soft plumage of these birds. The specific cedrorum is Latin for ""of the cedars""."
"860","Ovenbird","The ovenbird (Seiurus aurocapilla) is a small songbird of the New World warbler family (Parulidae). This migratory bird breeds in eastern North America and winters in Central America, many Caribbean islands, Florida and northern Venezuela."
"861","Louisiana Waterthrush","The Louisiana waterthrush (Parkesia motacilla) is a New World warbler, that breeds in eastern North America and winters in the West Indies and Central America. Plain brown above, it is white below, with black streaks and with buff flanks and undertail, distinguishing it from the closely related northern waterthrush. The habitats it prefers are streams and their surroundings, and other wet areas."
"862","Northern Waterthrush","The northern waterthrush (Parkesia noveboracensis) is a species of ground-feeding migratory New World warbler of the genus Parkesia. It breeds in the northern part of North America in Canada and the northern United States including Alaska, and winters in Central America, the West Indies and Florida, as well as in Venezuela, Colombia, and Ecuador.  It is a rare vagrant to other South American countries and to western Europe. Its closest relative is the Louisiana waterthrush."
"863","Blue-winged Warbler","The blue-winged warbler (Vermivora cyanoptera) is a fairly common New World warbler, 11.5 cm (4.5 in) long and weighing 8.5 g (0.30 oz). It breeds in eastern North America in southern Ontario and the eastern United States. Its range is extending northwards, where it is replacing the very closely related golden-winged warbler (Vermivora chrysoptera)."
"864","Black-and-white Warbler","The black-and-white warbler (Mniotilta varia) is a species of New World warbler, and the only member of its genus, Mniotilta. \nIt breeds in northern and eastern North America and winters in Florida, Central America, and the West Indies down to Peru. This species is a very rare vagrant to western Europe.\nRelative to other New World warblers, it is not well studied."
"865","Prothonotary Warbler","The prothonotary warbler (Protonotaria citrea) is a small songbird of the New World warbler family. It is named for its plumage which resembles the yellow robes once worn by papal clerks (named prothonotaries) in the Roman Catholic Church.\nThe prothonotary warbler is the only member of the genus Protonotaria and the only eastern warbler that nests in natural or artificial cavities."
"866","Tennessee Warbler","The Tennessee warbler (Leiothlypis peregrina) is a New World warbler that breeds in eastern North America and winters in southern Central America, the Caribbean, and northern South America. The specific name peregrina is from  Latin  peregrinus ""wanderer""."
"867","Orange-crowned Warbler","The orange-crowned warbler (Leiothlypis celata) is a small songbird of the New World warbler family."
"868","Nashville Warbler","The Nashville warbler (Leiothlypis ruficapilla) is a small songbird in the New World warbler family, found in North and Central America. It breeds in parts of the northern and western United States and southern Canada, and migrates to winter in southern California and Texas, Mexico, and the north of Central America. It has a gray head and a green back, and its underparts are yellow and white."
"869","MacGillivray's Warbler","MacGillivray's warbler (Geothlypis tolmiei) is a species of New World warbler. These birds are sluggish and heavy warblers, preferring to spend most of their time on, or near the ground, except when singing.\n\nMacGillivray's warbler was named by John James Audubon in honor of Scottish ornithologist William MacGillivray, although the proper credit to its discovery goes to John Kirk Townsend. The specific name was given in honor of William Fraser Tolmie.\nAdult MacGillivray's warblers are an olive-green color on their upperparts and dull yellow below. Males have black heads and breasts, while females and immature birds have drab light gray heads; both males and females have broken white eye-rings. The song is a series of repeated two-note phrases, gradually increasing in volume, ending with two single notes: jeeter jeeter jeeter JEETER JEETER jeet jeet. MacGillivray's warblers are very similar to their eastern counterpart, the mourning warbler, the primary difference between the two species being the mourning warbler's lack of an eye-ring.\nMeasurements:\n\nLength: 3.9–5.9 in (9.9–15.0 cm)\nWeight: 0.3–0.5 oz (8.5–14.2 g)\nWingspan: 7.5 inches (19 cm)\nMacGillivray's warblers are migratory and spend their summers in temperate forests in the western United States, and in boreal forests of west Canada. In autumn, these birds migrate to Central America, where they stay in temperate shrublands for the winter."
"870","Mourning Warbler","The mourning warbler (Geothlypis philadelphia) is a small songbird of the New World warbler family. Mourning warblers are native to eastern and central North America as well as some countries in Central America. They are neotropical migrants and tend to be found in dense second growth forests. They are under the Wood-warbler category, which consists of arboreal and terrestrial colorful passerines. Wood warblers are in the order Passeriformes, which are perching birds including more than half of all bird species, and the family Parulidae which also includes the Common Yellowthroat, Black and White Warbler, Nashville Warbler, ovenbird, and American Redstart. They are very similar to the MacGillivray's Warbler in appearance, especially in females and immature birds, but their breeding range does not overlap into the west.\nThe ""mourning"" in this bird's name refers to the male's hood, thought to resemble a mourning veil."
"871","Hooded Warbler","The hooded warbler (Setophaga citrina) is a New World warbler. It breeds in eastern North America across the eastern United States and into southernmost Canada (Ontario). It is migratory, wintering in Central America and the West Indies. Hooded warblers are very rare vagrants to western Europe.\nRecent genetic research has suggested that the type species of Wilsonia (hooded warbler W. citrina) and of Setophaga (American redstart S. ruticilla) are closely related and should be merged into the same genus. As the name Setophaga (published in 1827) takes priority over Wilsonia (published in 1838), hooded warbler would then be transferred as Setophaga citrina. This change has been accepted by the North American Classification Committee of the American Ornithologists' Union, and the IOC World Bird List. The South American Classification Committee continues to list the bird in the genus Wilsonia."
"872","Cape May Warbler","The Cape May warbler (Setophaga tigrina) is a species of New World warbler. It breeds in northern North America. Its breeding range spans all but the westernmost parts of southern Canada, the Great Lakes region, and New England. It is migratory, wintering in the West Indies. This species is a very rare vagrant to western Europe, with two records in Britain as of October 2013. The English name refers to Cape May, New Jersey, where George Ord collected the specimen later described by Alexander Wilson. This species was not recorded again in Cape May for another 100 years, although it is now known as an uncommon migrant there."
"873","Northern Parula","The northern parula (Setophaga americana) is a small New World warbler. It breeds in eastern North America from southern Canada to Florida."
"874","Blackburnian Warbler","The Blackburnian warbler (Setophaga fusca) is a small New World warbler. They breed in eastern North America, from southern Canada, westwards to the southern Canadian Prairies, the Great Lakes region and New England, to North Carolina.\nBlackburnian warblers are migratory, wintering in southern Central America and South America, and are very rare vagrants to western Europe."
"875","Yellow Warbler","The yellow warbler (Setophaga petechia) is a New World warbler species. Yellow warblers are the most widespread species in the diverse genus Setophaga, breeding in almost the whole of North America, the Caribbean, as well as northern South America."
"876","Palm Warbler","The palm warbler (Setophaga palmarum) is a small songbird of the New World warbler family."
"877","Pine Warbler","The pine warbler (Setophaga pinus) is a small songbird of the New World warbler family."
"878","Yellow-throated Warbler","The yellow-throated warbler (Setophaga dominica) is a small migratory songbird species in the New World warbler family (Parulidae) found in temperate North America."
"879","Prairie Warbler","The prairie warbler (Setophaga discolor) is a small songbird of the New World warbler family."
"880","Black-throated Gray Warbler","The black-throated gray warbler or black-throated grey warbler (Setophaga nigrescens) is a passerine bird of the New World warbler family Parulidae. It is 13 cm (5.1 in) long and has gray and white plumage with black markings. The male has the bold black throat of its name, and black stripes on its head, as well as black streaks on its flanks; the female is a paler version of the male, with a white throat and less distinct black markings on the flanks and wings. It breeds in western North America from British Columbia to New Mexico, and winters in Mexico and the southwestern United States. The habitats it prefers are coniferous and mixed forests and scrubland, especially those with pinyon pines, junipers, sagebrush, and oaks. Its nest is an open cup of plant fibers lined with feathers, built a few metres from the ground in the branches of a tree or shrub. Three to five eggs are laid, and young are fed by both parents. Common in its breeding range, it does not seem to be seriously threatened by human activities, unlike many migratory warblers."
"881","Townsend's Warbler","Townsend's warbler (Setophaga townsendi) is a small songbird of the New World warbler family."
"882","Hermit Warbler","The hermit warbler (Setophaga occidentalis) is a small perching bird. It is a species of New World warbler or wood-warbler. They are a migratory bird, the breeding range spanning the majority of the west coast of the United States. Their winter range includes parts of Mexico and Central America as well as parts of the southern California coast."
"883","Black-throated Green Warbler","The black-throated green warbler (Setophaga virens) is a small songbird of the New World warbler family."
"884","Canada Warbler","The Canada warbler (Cardellina canadensis) is a small boreal songbird of the New World warbler family (Parulidae). It summers in Canada and northeastern United States and winters in northern South America."
"885","Wilson's Warbler","Wilson's warbler (Cardellina pusilla) is a small New World warbler. It is greenish above and yellow below, with rounded wings and a long, slim tail. The male has a black crown patch; depending on the subspecies, that mark is reduced or absent in the female. It breeds across Canada and south through the western United States, and winters from Mexico south through much of Central America. It is a very rare vagrant to western Europe."
"886","Yellow-breasted Chat","The yellow-breasted chat (Icteria virens) is a large songbird found in America, and is the only member of the family Icteriidae. It was once a member of the New World warbler family Parulidae, but in 2017, the American Ornithological Society moved it to its own family. Its placement is not definitively resolved."
"887","Green-tailed Towhee","The green-tailed towhee (Pipilo chlorurus) is the smallest towhee, but is still one of the larger members of the American sparrow family Passerellidae.\nIts breeding range covers most of the interior Western United States, with a winter range in Mexico and the southern edge of the Southwestern United States.\nThis bird can be recognized by the bright green stripes on the edge of its wings. It has a distinct white throat and a rufous cap. It measures 7.25 in (18.4 cm) long and weighs 29 g (1.0 oz).\nIt is fairly tame, but often stays hidden under a bush. It is fairly common in habitats with sagebrush and other such bushes. It is uncommonly seen because of its tendency to stay under cover."
"888","Spotted Towhee","The spotted towhee (Pipilo maculatus) is a large New World sparrow. The taxonomy of the towhees has been debated in recent decades, and until 1995 this bird and the eastern towhee were considered a single species, the rufous-sided towhee.  Another outdated name for the spotted towhee is the Oregon towhee (Pipilo maculatus oregonus). The call may be harsher and more varied than for the eastern towhee.\nIndividuals in the Socorro Island population are much smaller than other spotted towhees, and show distinctive gray upper-parts. That population is sometimes treated as a species: the Socorro towhee (Pipilo socorroensis)."
"889","Eastern Towhee","The eastern towhee (Pipilo erythrophthalmus), also known as chewink, joree, or joree bird, is a large New World sparrow. The taxonomy of the towhees has been under debate in recent decades, and formerly this bird and the spotted towhee were considered a single species, the rufous-sided towhee.\nTheir breeding habitat is brushy areas across eastern North America. They nest either low in bushes or on the ground under shrubs. Northern birds migrate to the southern United States. There has been one record of this species as a vagrant to western Europe: a single bird in Great Britain in 1966.\nThe song is a short drink your teeeeea lasting around one second, starting with a sharp call (""drink!"") and ending with a short trill ""teeeeea"". The name ""towhee"" is onomatopoeic description of one of the towhee's most common calls, a short two-part call rising in pitch and sometimes also called a ""chewink"" call."
"890","Rufous-crowned Sparrow","The rufous-crowned sparrow (Aimophila ruficeps) is a small American sparrow. This passerine is primarily found across the Southwestern United States and much of the interior of Mexico, south to the transverse mountain range, and to the Pacific coast to the southwest of the transverse range. Its distribution is patchy, with populations often being isolated from each other. Twelve subspecies are generally recognized, though up to eighteen have been suggested. This bird has a brown back with darker streaks and gray underparts. The crown is rufous, and the face and supercilium are gray with a brown or rufous streak extending from each eye and a thick black malar streak.\nThese sparrows feed primarily on seeds in the winter and insects in the spring and summer. The birds are often territorial, with males guarding their territory through song and displays. Flight is awkward for this species, which prefers to hop along the ground for locomotion. They are monogamous and breed during spring. Two to five eggs are laid in the bird's nest, which is cup-shaped and well hidden. Adult sparrows are preyed upon by house cats and small raptors, while young may be taken by a range of mammals and reptiles. They have been known to live for up to three years, two months. Although the species has been classified as least concern, or unthreatened with extinction, some subspecies are threatened by habitat destruction and one may be extinct."
"891","Canyon Towhee","The canyon towhee (Melozone fusca) is a bird of the family Passerellidae.  Until 1989, the canyon towhee and the California towhee were considered to be a single species which was called the brown towhee."
"892","California Towhee","The California towhee (Melozone crissalis) is a bird of the family Passerellidae, native to the coastal regions of western Oregon and California in the United States and Baja California  and Baja California Sur in Mexico.\nThe taxonomy of this species has been debated. At the higher level, some authors place the towhees in the family Fringillidae. Within the group, there has been debate about whether the distinction between this species and the similar canyon towhee (Melozone fuscus) should be at the specific or subspecific level. The two species used to be grouped together as the brown towhee, yet today they are identified separately, especially because of their differing feather coloration, and the canyon towhee's dark central breast spot. The two populations are quite isolated from each other, and molecular genetics seems to have settled the matter in favour of two distinct species for the present. On the other hand, there seems to be little distinction between the northern and Baja Californian populations within M. crissalis.  Nowadays, scientists consider the Abert's towhee as the California towhee's closest relative due to closely aligned DNA and patterns."
"893","Abert's Towhee","Abert's towhee (Melozone aberti) is a bird of the family Passerellidae, native to a small range in southwestern North America, generally the lower Colorado River and Gila River watersheds, nearly endemic to Arizona, but also present in small parts of California, Nevada, Utah, New Mexico, and Sonora in Mexico. The name of this bird commemorates the American ornithologist James William Abert (1820–1897)."
"894","American Tree Sparrow","The American tree sparrow (Spizelloides arborea), also known as the winter sparrow, is a medium-sized New World sparrow."
"895","Clay-colored Sparrow","The clay-colored sparrow or clay-coloured sparrow (Spizella pallida) is a small New World sparrow of North America.\nAdults have light brown upperparts and pale underparts, with darker streaks on the back. They have a pale crown stripe on a dark brown crown, a white line over the eyes, a dark line through the eyes, a light brown cheek patch and brown wings with wing bars. The short bill is pale with a dark tip and the back of the neck is grey; they have a long tail. Non-breeding adults and immature resemble chipping sparrows and Brewer's sparrows; they often form flocks with these birds outside the nesting season.\n\nTheir breeding habitat is shrubby open areas and jack pine woods across central Canada and central northern United States east to the Great Lakes, and is expanding further eastward. The nest is an open cup on the ground or low in a shrub.\nThese birds migrate in flocks to southern Texas and Mexico.\nThey forage on the ground, mainly eating seeds and insects. Outside the nesting season, they often feed in small flocks. While nesting, these birds may feed far from the nest; feeding areas are not defended.\nThe male sings from an open perch to indicate his ownership of the nesting territory. The song is a Bzzzz bzzzz za za.\nThis bird's nests are made of grasses and lined with fine materials or hair. Three to five splotched blue-green eggs are laid and incubated for 11 days. They are often parasitized by the brown-headed cowbird; the nest may be abandoned when this happens."
"896","Brewer's Sparrow","Brewer's sparrow (Spizella breweri) is a small, slim species of American sparrow in the family Passerellidae. This bird was named after the ornithologist Thomas Mayo Brewer."
"897","Field Sparrow","The field sparrow (Spizella pusilla) is a small New World sparrow in the family Passerellidae. It is about 140 mm (6 in) long and weighs about 12.5 g (0.4 oz). The head is grey with a rust-coloured crown, white eye-ring and pink bill. The upper parts are brown streaked with black and buff, the breast is buff, the belly is white and the tail is forked. There are two different colour morphs, one being greyer and the other more rufous.\nThe field sparrow is distributed across eastern Canada and the eastern United States, with northern populations migrating southwards to southern United States and north-eastern Mexico in the fall. The typical habitat of this bird is bushy country with shrubs and grassland. The nest is a cup-shaped construction built on the ground and hidden beneath a bush or clump of grass. The birds forage on the ground or in low vegetation, feeding mainly on seeds and insects. The population is thought to be in slow decline, but it is a common species with a wide range, and the International Union for Conservation of Nature has assessed its conservation status as being of ""least concern""."
"898","Vesper Sparrow","The vesper sparrow (Pooecetes gramineus) is a medium-sized New World sparrow. The only member of the genus Pooecetes, it is a pale sparrow with brown streaks that breeds across the grasslands of northern North America. It migrates to winter in the southern United States and Mexico."
"899","Lark Sparrow","The lark sparrow (Chondestes grammacus) is a fairly large New World sparrow. It is the only member of the genus Chondestes."
"900","Savannah Sparrow","The Savannah sparrow (Passerculus sandwichensis) is a small New World sparrow that is the only member of the genus Passerculus. It is a widespread and abundant species that occupies open grassland habitats in North America.\nOver most of its range it is migratory, breeding in Canada and the northern United States while wintering in Mexico and the southern United States. It is a sexually monomorphic species that is quite variable in appearance. Around 17 subspecies are currently recognised. These are divided into several groups, some of which have sometimes been considered as separate species.\nThe species name sandwichensis is Latin from Sandwich Sound (now Prince William Sound) in southern Alaska from where the first specimen was collected. The common name refers to Savannah, Georgia, where Alexander Wilson observed the species in 1811."
"901","Fox Sparrow","The fox sparrow (Passerella iliaca) is a large New World sparrow. It is the only member of the genus Passerella, although some authors split the species into four (see below)."
"902","Song Sparrow","The song sparrow (Melospiza melodia) is a medium-sized New World sparrow. Among the native sparrows in North America, it is easily one of the most abundant, variable and adaptable species."
"903","Lincoln's Sparrow","Lincoln's sparrow (Melospiza lincolnii) is a small sparrow native to North America. It is a less common passerine bird that often stays hidden under thick ground cover, but can be distinguished by its sweet, wrenlike song. Lincoln's sparrow is one of three species in the genus Melospiza which also includes the song sparrow (M. melodia) and the swamp sparrow (M. georgiana). It lives in well-covered brushy habitats, often near water. This bird is poorly documented because of its secretive nature and breeding habits solely in boreal regions."
"904","Swamp Sparrow","The swamp sparrow (Melospiza georgiana) is a medium-sized New World sparrow related to the song sparrow."
"905","Dark-eyed Junco","The dark-eyed junco (Junco hyemalis) is a species of junco, a group of small, grayish New World sparrows. The species is common across much of temperate North America and in summer it ranges far into the Arctic. It is a variable species, much like the related fox sparrow (Passerella iliaca), and its systematics are still not completely resolved."
"906","Summer Tanager","The summer tanager (Piranga rubra) is a medium-sized American songbird. Formerly placed in the tanager family (Thraupidae), it and other members of its genus are now classified in the cardinal family (Cardinalidae). The species's plumage and vocalizations are similar to other members of the cardinal family."
"907","Pyrrhuloxia","The pyrrhuloxia  or desert cardinal (Cardinalis sinuatus) is a medium-sized North American songbird found in the American southwest and northern Mexico. This distinctive species with a short, stout bill and red crest and wings, and closely resembles the northern cardinal and the vermilion cardinal, which are in the same genus."
"908","Dickcissel","The dickcissel (Spiza americana) is a small seed-eating migratory bird in the family Cardinalidae. It breeds on the prairie grasslands of the Midwestern United States and winters in Central America, northern Colombia, and northern Venezuela. It is the only member of the genus Spiza, though some sources list another supposedly extinct species (see below)."
"909","Eastern Meadowlark","The eastern meadowlark (Sturnella magna) is a medium-sized blackbird (family: Icteridae), very similar in appearance to sister species western meadowlark. It occurs from eastern North America to northern South America, where it is also most widespread in the east. The Chihuahuan meadowlark was formerly considered to be conspecific with the eastern meadowlark."
"910","Western Meadowlark","The western meadowlark (Sturnella neglecta) is a medium-sized icterid bird, about 8.5 in (22 cm) in length. It nests on the ground in open grasslands across western and central North America. It feeds mostly on bugs, but will also feed on seeds and berries. The western meadowlark has distinctive calls described as watery or flute-like, which distinguish it from the closely related eastern meadowlark. The western meadowlark is the state bird of six states: Kansas, Montana, Nebraska, North Dakota, Oregon, and Wyoming."
"911","Rusty Blackbird","The rusty blackbird (Euphagus carolinus) is a medium-sized New World blackbird, closely related to grackles (""rusty grackle"" is an older name for the species). It is a bird that prefers wet forested areas, breeding in the boreal forest and muskeg across northern Canada, and migrating southeast to the United States during winter.\nFormerly abundant, the rusty blackbird has undergone one of the most rapid declines of any abundant bird species in North America in recent years, for reasons that are not well understood."
"912","Common Grackle","The common grackle (Quiscalus quiscula) is a species of large icterid bird found in large numbers through much of North America. First described in 1758 by Carl Linnaeus, the common grackle has three subspecies. Adult common grackles have a long and dark bill, pale yellow eyes, and a long tail. Adults often have an iridescent appearance on their head, especially males. Common grackles can be found widely across North America east of the Rocky Mountains."
"913","Boat-tailed Grackle","The boat-tailed grackle (Quiscalus major) is a passerine bird of the family Icteridae found as a permanent resident on the coasts of the Southeastern and Mid-Atlantic United States."
"914","Great-tailed Grackle","The great-tailed grackle or Mexican grackle (Quiscalus mexicanus) is a medium-sized, highly social passerine bird native to North and South America. A member of the family Icteridae, it is one of 10 extant species of grackle and is closely related to the boat-tailed grackle and the extinct slender-billed grackle.  In the southern and southwestern United States, the grackle is sometimes referred to simply as a ""blackbird"" or (erroneously) a ""crow"" due to its glossy black plumage; however, grackles form their own unique genus that is separate from other ""blackbirds"", such as the red-winged and Brewer's blackbirds, despite being in the same family (Icteridae). Superficially, Brewer's blackbird is one of the most visually similar species to grackles.\nIn some parts of Mexico, the grackle is sometimes referred to in Spanish as cuervo (""raven""; ""crow""), although it is not a member of the crow genus (Corvus) nor of their family (Corvidae)."
"915","Bronzed Cowbird","The bronzed cowbird (Molothrus aeneus), once known as the red-eyed cowbird, is a small icterid.\nThey breed from the U.S. states of California, Arizona, New Mexico, Texas, and Louisiana south through Central America to Panama. They tend to be found in farmland, brush, and feedlots. Outside the breeding season, they are found in very open habitats, and roost in thick woods. These birds forage in open areas, often near cattle in pastures. Their diet mostly consists of seeds and insects, along with snails during breeding season for a calcium source.\nThere are three subspecies:\n\nM. a. loyei  Parkes & Blake, 1965 is found in the southwestern United States and northwestern Mexico.\nM. a. assimilis  (Nelson, 1900) is found in southwestern Mexico.\nM. a. aeneus  (Wagler, 1829), the nominate subspecies, is found in South Texas and from eastern Mexico to central Panama\nThe bronze-brown cowbird, which is restricted to the Caribbean coast of Colombia, was formerly considered to be an isolated population of this species.\nThe male bronzed cowbird is 20 cm (7.9 in) long and weighs 68 g (2.4 oz), with green-bronze, gloss-black plumage. His eyes are red in breeding season and brown otherwise. The female is 18.5 cm (7.3 in) long and weighs 56 g (2.0 oz). She is a dull black with a brown underbelly, and has brown eyes. Young birds have coloring similar to the females, with the exception of grey feather fringes.\nLike all cowbirds, this bird is an obligate brood parasite; it lays its eggs in the nests of other birds. The young cowbird is fed by the host parents at the expense of their own young. Hosts include Prevost's ground-sparrows and white-naped brush finches. They develop rapidly, leaving the nest after 10–12 days."
"916","Orchard Oriole","The orchard oriole (Icterus spurius) is the smallest species of icterid. The subspecies of the Caribbean coast of Mexico, I. s. fuertesi, is sometimes considered a separate species, the ochre oriole or Fuertes's oriole.\nThe orchard oriole is a small bird with a length of 5.9-7.1 inches, a weight of 0.6-1.0 ounces, and a wingspan of 9.8 inches. Adult males have chestnut or ochre underparts, while adult females and juveniles have olive-green upper parts and yellowish breasts and bellies. They inhabit semi-open areas with deciduous trees in eastern North America, southern Tamaulipas, and Veracruz. Their winter range extends from central Sinaloa and southern Veracruz to northern Colombia and northwestern Venezuela.\nOrchard orioles prefer living near lakes and streams, nesting in tightly woven pouches attached to horizontal tree branches. They are nocturnal migrants and feed on insects, spiders, fruit, nectar, and seeds depending on the season. During flight, they usually swoop close to the ground and fly at or below treetop level. Courtship displays include bowing, seesawing, and begging. The species name ""spurius"" refers to their original misidentification as female Baltimore orioles, and they are sometimes mistaken for New World warblers."
"917","Gray-crowned Rosy-Finch","The gray-crowned rosy finch or gray-crowned rosy-finch (Leucosticte tephrocotis) is a species of passerine bird in the family Fringillidae native to Alaska, western Canada, and the north-western United States.  Due to its remote and rocky alpine habitat it is rarely seen. There are currently six recognized subspecies. It is one of four species of rosy finches."
"918","Black Rosy-Finch","The black rosy finch or black rosy-finch (Leucosticte atrata) is a species of passerine bird in the family Fringillidae native to alpine areas above treeline, of the western United States. It is the most range-restricted member of its genus, and a popular photography subject for birdwatchers."
"919","Brown-capped Rosy-Finch","The brown-capped rosy finch (Leucosticte australis) is a medium-sized finch endemic to North America.\nAdults are brown on the head, back, and breast. The belly and rump are pink, with additional pink shading on the wings and tail. The pink is pronounced on the male but more subdued on the female. The forehead is black or grayish brown. The bill is yellow in winter and black in summer. These birds have short black legs and a long forked tail.\nTheir breeding habitat is mountain peaks in the central Rocky Mountains of the United States. They build a cup nest in a cavity on a cliff, or re-use abandoned cliff swallow nests. In winter, these birds migrate short distances to lower elevations.\nThese birds can be found in alpine snowfields and also at feeders, especially in the winter. They  forage on the ground, but may fly to catch insects in flight. They mainly eat seeds from weeds and grasses and insects. They often feed in small flocks with other rosy finches.\nAt one time, the three North American rosy finches were considered to be one species.\nDespite fears that the population of this bird is declining, an analysis published in 2023 found a healthy population with more than three times the birds estimated in a 2016 report."
"920","Common Redpoll","The  redpoll (Acanthis flammea) is a species of small passerine bird in the finch family Fringillidae. It is the only species placed in the genus Acanthis. It breeds in the Arctic and north temperate Holarctic tundra and taiga. The redpoll was formerly widely treated as three species: the common or mealy redpoll, the arctic or hoary redpoll (A. hornemanni), and the lesser redpoll (A. cabaret)."
"921","Hoary Redpoll","The  redpoll (Acanthis flammea) is a species of small passerine bird in the finch family Fringillidae. It is the only species placed in the genus Acanthis. It breeds in the Arctic and north temperate Holarctic tundra and taiga. The redpoll was formerly widely treated as three species: the common or mealy redpoll, the arctic or hoary redpoll (A. hornemanni), and the lesser redpoll (A. cabaret)."
"922","Pine Siskin","The pine siskin (Spinus pinus) is a North American bird in the finch family. It is a migratory bird with an extremely sporadic winter range."
"923","Western Wood-Pewee","The western wood pewee (Contopus sordidulus) is a small tyrant flycatcher. Adults are gray-olive on the upperparts with light underparts, washed with olive on the breast. They have two wing bars and a dark bill with yellow at the base of the lower mandible. This bird is very similar in appearance to the eastern wood pewee; the two birds were formerly considered to be one species. The call of C. sordidulus is a loud buzzy peeer; the song consists of three rapid descending tsees ending with a descending peeer."
"924","Eastern Wood-Pewee","The eastern wood pewee (Contopus virens) is a small tyrant flycatcher from North America. This bird and the western wood pewee (C. sordidulus) were formerly considered a single species. The two species are virtually identical in appearance, and can be distinguished most easily by their calls."
"925","Least Flycatcher","The least flycatcher (Empidonax minimus) (also called chebec, or chebecker, after the sound it makes) is a small insect-eating bird. It is the smallest Empidonax flycatcher in eastern North America."
"926","Pacific-slope Flycatcher","The western flycatcher (Empidonax difficilis) is a small insectivorous bird in the family Tyrannidae.  It is native to western North America, where it breeds in the Rocky Mountains and Pacific Coast forests and mountain ranges from California to Alaska and south to central Mexico; northern populations migrate south to Mexico for the winter."
"927","Cordilleran Flycatcher","The western flycatcher (Empidonax difficilis) is a small insectivorous bird in the family Tyrannidae.  It is native to western North America, where it breeds in the Rocky Mountains and Pacific Coast forests and mountain ranges from California to Alaska and south to central Mexico; northern populations migrate south to Mexico for the winter."
"928","Black Phoebe","The black phoebe (Sayornis nigricans) is a passerine bird in the tyrant-flycatcher family. It breeds from southwest Oregon and California south through Central and South America. It occurs year-round throughout most of its range and migrates less than the other birds in its genus, though its northern populations are partially migratory. Six subspecies are commonly recognized, although two are occasionally combined as a separate species, the white-winged phoebe.\nThe black phoebe has predominantly black plumage, with a white belly and undertail coverts. The sexes are identical in color, and juveniles have brown feather tips and brown wing-bars. Its song is a repeated tee-hee, tee ho. It lives in a variety of habitats but is always near water. It is mainly insectivorous and waits on a perch before sallying out and catching its prey in the air. It makes an open cup nest which is placed under a cliff or a bridge and cemented in its place with mud."
"929","Eastern Phoebe","The eastern phoebe (Sayornis phoebe) is a small passerine bird. The genus name Sayornis is constructed from the specific part of Charles Lucien Bonaparte's name for Say's phoebe, Muscicapa saya, and Ancient Greek ornis, ""bird"". Phoebe is an alternative name for the Roman moon-goddess Diana, but it may also have been chosen to imitate the bird's call."
"930","Say's Phoebe","Say's phoebe (Sayornis saya) is a passerine bird in the tyrant flycatcher family, Tyrannidae. A common bird across western North America, it prefers dry, desolate areas. It was named for Thomas Say, an American naturalist."
"931","Ash-throated Flycatcher","The ash-throated flycatcher (Myiarchus cinerascens) is a passerine bird in the tyrant flycatcher family."
"932","Great Crested Flycatcher","The great crested flycatcher (Myiarchus crinitus) is a large insect-eating bird of the tyrant flycatcher family. It is the most widespread member of the genus Myiarchus in North America, and is found over most of the eastern and mid-western portions of the continent. It dwells mostly in the treetops and rarely is found on the ground."
"933","Cassin's Kingbird","Cassin's kingbird (Tyrannus vociferans) is a large tyrant flycatcher native to western North America. The name of this bird commemorates the American ornithologist John Cassin."
"934","Western Kingbird","The western kingbird (Tyrannus verticalis) is a large tyrant flycatcher found throughout western environments of North America, as far south as Mexico."
"935","Eastern Kingbird","The eastern kingbird (Tyrannus tyrannus) is a large tyrant flycatcher native to the Americas. The bird is predominantly dark gray with white underbelly and pointed wings. Eastern kingbirds are conspicuous and are commonly found in open areas with scattered trees and bushes, where they perch while foraging for insects. The Eastern kingbird is migratory, with its breeding range spread across North America and its wintering range in Central and South America."
"936","Scissor-tailed Flycatcher","The scissor-tailed flycatcher (Tyrannus forficatus), known as swallow-tailed flycatcher or scissorstail, is a long-tailed insectivorous bird of the genus Tyrannus, whose members are collectively referred to as kingbirds. Its scientific name used to be Muscivora forficata until it was changed to Tyrannus forficatus. It is found in North and Central America, and is Oklahoma's State Bird."
